;datum;jahr;pfr;mitwirkung;art;begleitung;quelle;nr;komponist_vn;komponist;werk;stück;anmerkungen
;28.11.1999;1999;;;;;;;Heinrich;Kaminsky;;Maria durch ein Dornwald ging;
;28.11.1999;1999;;;;;;;;Mai-Kümme;;Es kommt ein Schiff geladen;
;28.11.1999;1999;;;;;KGB;370;;;;Tochter Zion;
;24.12.1999;1999;P. Feldmann;;Christnachtfeier;M. Stünzi, S. Mächler, R. Wylemann, R. Würmli;;;Georg Ph.;Telemann;;Hosianna dem Sohne David;
;24.12.1999;1999;;;;;;;Andreas;Hammerschmidt;;Fürchtet euch nicht;
;24.12.1999;1999;;;;;;;Wolfgang C.;Briegel;;Freuet Euch;
;31.12.1999;1999;R. Binkert;T. Venzin, K. Wick;Silvesterfeier;;;;Wolfgang C.;Briegel;;Freuet Euch;
;31.12.1999;1999;;;;;;;;;;Dona nobis pacem;
;01.01.2000;2000;2000;;;;;;;;;;
;06.02.2000;2000;R. Binkert;;GD;M. Stünzi;;;;Schein;;Wie lieblich;
;06.02.2000;2000;;;;;;;Gabrièl;Fauré;Kyrie;Exaudi;
;06.02.2000;2000;;;;;;;;;Libera me;Libera me Domine;
;16.04.2000;2000;;;GD in Witikon;;;;Gabrièl;Fauré;Requiem;Offertoire, Sanctus, Agnus Dei, In Paradisum, Libera me;
;20.04.2012;2012;;;Konzert zur Karwoche;;;;Pablo;Casals;;0 vos omnes;
;20.04.2012;2012;;;;;;;Johann H.;Schein;;Wie lieblich sind deine Wohnungen;
;20.04.2012;2012;;;;;;;Gabrièl;Fauré;Requiem;;
;21.04.2000;2000;R. Binkert;;GD;E. Jannibelli;;;Pablo;Casals;;0 vos omnes;
;21.04.2000;2000;;;;;;;Gabrièl;Fauré;;3 Teile aus dem Requiem;
;25.06.2000;2000;P. Feldmann;;GD;H. Brunner;CH;98;;;;Erd und Himmel sollen singen;
;25.06.2000;2000;;;;;;;Rolf;Schweizer;;Die Himmel erzählen;
;25.06.2000;2000;;;;;;;Claudio;Monteverdi;;Christe adoramus te;
;05.07.2000;2000;;;Nauengut;H. Brunner;;;;;;Dvorak, Brahms und Strauss;
;24.10.2000;2000;;;Abdankung M. Buchmann;;;;;;;Danket, danket dem Herrn, Über abendstille Auen;
;03.12.2000;2000;R. Binkert;;GD 1. Advent;H. Brunner;;;;;;0 Heiland reiss die Himmel auf;
;03.12.2000;2000;;;;;;;Joseph;Josquin;;In te Domine speravi;
;03.12.2000;2000;;;;;;;Johann S.;Bach;;Ich will den Namen Gottes;
;01.01.2001;2001;2001;;;;;;;;;;
;28.01.2001;2001;R. Binkert;;GD;M. Stünzi;;;Leos;Janacek;Messe B-Dur;Kyrie, Sanctus, Benedictus. Agnus Dei;nach Franz Liszt
;13.04.2001;2001;P. Feldmann;;GD;M. Stünzi;;;Leos;Janacek;Messe B-Dur;Kyrie, Sanctus, Benedictus;nach Franz Liszt
;13.04.2001;2001;;;;;CH98;98;;;;Holz auf meiner Schulter;
;24.05.2001;2001;R. Binkert;;GD Auffahrt;Kircho Rüti, Singkreis Hinwil;;;;;;;
;24.05.2001;2001;;;;;;;Heinrich;Schütz;;Ehre sei dem Vater;
;24.05.2001;2001;;;;;;;Georg F.;Händel;Messias;wie durch einen der Tode;
;24.05.2001;2001;;;;;BL75;;;Gallus;;Dies ist der Tag;
;24.05.2001;2001;;;;;CH98;;;;;Erd und Himmel sollen singen;
;24.06.2001;2001;R. Binkert;;GD;H. Brunner;;;Joseph;Haydn;Theresiemesse;Gloria, Credo, Agnus Dei;
;24.06.2001;2001;;;;;CH98;;;;;Erd und Himmel sollen singen;
;24.06.2001;2001;;;;;KGB;345;;;;Europa Cantat, Pro Senectute;
;11.07.2001;2001;;;Nauengut;H. Brunner, A. Belser;;;Franz;Schubert;Magnificat;;
;09.09.2012;2012;R. Binkert;;GD;H. Brunner;;;Franz;Schubert;Magnifict;Teile 1 und 3;
;09.09.2012;2012;;;;;;;Joseph;Haydn;Theresiemesse;Credo, ;
;21.09.2001;2001;;;Konzert;;;;Franz;Schubert;;Magnificat D 486;
;22.09.2001;2001;;;Konzert;;;;;;;Salve regina D 676;
;22.09.2001;2001;;;;;;;Joseph;Haydn;Theresienmesse in B;;
;11.11.2001;2001;;;Konzert in Witikon;;;;;;;;
;24.12.2001;2001;P. Feldmann;;Christnachtfeier;H. Brunner, B. Simmler Flöte, R. Wylemann Oboe, S. Mächler Oboe;;;Arnold M.;Brunckhorst;Die Weihnachtsgeschichte;;
;24.12.2001;2001;;;;;;;Francis;Poulenc;;Hodie Christus Natus Est;
;31.12.2001;2001;R. Binkert;T. Venzin, Miriam Meier;Silvesterfeier;;;;Arnold M.;Brunckhorst;Die Weihnachtsgeschichte;14, 15;
;31.12.2001;2001;;;;;;;Wolfgang A.;Mozart;;Unter der Liebenden zahlreichen Scharen;
;31.12.2001;2001;;;;;;;;;;Dona nobis pacem;
;03.02.2002;2002;R. Binkert;;GD;H. Brunner;;;Ottorino;Respighi;Lauda per la Nativitä;40 bis 43;
;03.02.2002;2002;;;;;CH2000;38;;;;Singet dem Herrn ein neues Lied;
;03.02.2002;2002;;;;;BL72;;Heinrich;Schütz;;Ehre sei dem Vater;
